nodenumber     x-coordinate     y-coordinate     z-coordinate     z-wall-shear     y-wall-shear     x-wall-shear       wall-shear         pressure     z-coordinate     y-coordinate     x-coordinate 
       116  2.539489567E-01  2.891812921E-01 -1.809167862E-01  9.554366346E-02 -2.462650306E-01  1.826883205E-01  3.362500654E-01  2.017705495E-01 -1.809167862E-01  2.891812921E-01  2.539489567E-01 
       117  2.551187873E-01  2.892883122E-01 -1.809144765E-01 -1.148445777E-01 -2.349236403E-01  3.935170383E-01  4.747202849E-01 -3.325848891E+00 -1.809144765E-01  2.892883122E-01  2.551187873E-01 
       118  2.524683774E-01  2.919190824E-01 -1.809142679E-01 -7.480511386E-03 -5.338838947E-02 -5.636206751E-02  1.200555250E-01  1.678647167E+01 -1.809142679E-01  2.919190824E-01  2.524683774E-01 
       119  2.526954412E-01  2.912752628E-01 -1.809114218E-01  2.499535558E-01 -4.500906132E-01  6.757592151E-02  5.223766578E-01  1.751253689E+01 -1.809114218E-01  2.912752628E-01  2.526954412E-01 
       120  2.537553012E-01  2.896617949E-01 -1.809109598E-01  3.617659443E-02 -9.787193361E-02 -6.541318417E-02  1.304391875E-01 -4.870982879E-01 -1.809109598E-01  2.896617949E-01  2.537553012E-01 
       121  2.530894876E-01  2.918735445E-01 -1.809109151E-01 -4.951896714E-02 -6.389986126E-02  9.041992004E-03  9.176457112E-02  1.873410579E+01 -1.809109151E-01  2.918735445E-01  2.530894876E-01 
       122  2.531128228E-01  2.914640605E-01 -1.809103489E-01  3.009758603E-01 -5.858125310E-01  2.178766806E-01  7.035564063E-01  1.853600545E+01 -1.809103489E-01  2.914640605E-01  2.531128228E-01 
       123  2.538196146E-01  2.893266082E-01 -1.809086651E-01  6.925667473E-02 -1.463849717E-01 -4.154023140E-03  1.684239905E-01  1.398539944E-01 -1.809086651E-01  2.893266082E-01  2.538196146E-01 
       124  2.556289434E-01  2.891178727E-01 -1.809067428E-01  6.030150829E-03  7.255293182E-02 -2.123640089E-01  2.260046724E-01 -5.002389172E-02 -1.809067428E-01  2.891178727E-01  2.556289434E-01 
       125  2.529670298E-01  2.919568717E-01 -1.809044331E-01 -7.214153214E-02 -7.328638245E-02 -7.574050758E-03  1.132322249E-01  1.840885168E+01 -1.809044331E-01  2.919568717E-01  2.529670298E-01 
